guide	element	locus	gene	minus_v1_normalized	minus_v2_normalized	plus_v1_normalized	plus_v2_normalized	minus_auxin_effect	plus_auxin_effect
220629_CohesinTapseq_g10_pool_1	chr11:69064046-69065281	chr11	CCND1	0.9650760708700785	1.110653200060237	0.7973732007276223	0.8528155280122747	1.0378646354651577	0.8250943643699484
220629_CohesinTapseq_g10_pool_1	chr11:69064046-69065281	chr11	CTTN	0.8240951498733745	1.1688644824762122	0.702142075806023	1.201200228040739	0.9964798161747934	0.9516711519233809
220629_CohesinTapseq_g10_pool_1	chr11:69064046-69065281	chr11	ANO1	0.5946375277471438	0.9433219388444684	2.3029973483508024	1.8534456127211898	0.7689797332958062	2.078221480535996
220629_CohesinTapseq_g10_pool_1	chr11:69064046-69065281	chr11	FADD	1.2081401009134538	1.0385664316381014	0.760834883680093	0.8918860612819477	1.1233532662757777	0.8263604724810203
220629_CohesinTapseq_g10_pool_1	chr11:69064046-69065281	chr11	PPFIA1	0.9141006154735021	0.9398528328518814	1.2070175597261652	1.0221406285086958	0.9269767241626917	1.1145790941174305
220629_CohesinTapseq_g10_pool_1	chr11:69064046-69065281	chr11	IGHMBP2	0.7212809683821017	1.1303082049825883	1.266812927352579	1.3381502983463496	0.9257945866823449	1.3024816128494643
220629_CohesinTapseq_g10_pool_1	chr11:69064046-69065281	chr11	MYEOV	0.71025315437165	0.9347077608844245	0.40555128160979087	0.3031212638590455	0.8224804576280373	0.35433627273441815
220629_CohesinTapseq_g10_pool_1	chr11:69064046-69065281	chr11	FGF19	0.840300174472094	1.8985971674761668	0.2310655240146598	1.328225261628654	1.3694486709741305	0.7796453928216569
220629_CohesinTapseq_g10_pool_1	chr11:69064046-69065281	chr11	CPT1A	0.9428901965582248	1.038125168626146	1.3851370271814818	0.9337049350597116	0.9905076825921854	1.1594209811205967
220629_CohesinTapseq_g10_pool_1	chr11:69064046-69065281	chr11	MRPL21	1.0291321635277666	0.8354556600615116	1.0752337268347616	1.1111718529695234	0.9322939117946392	1.0932027899021426
